Project Title,Country of Origin,First Name,Last Name,Synopsis,Trailer URL
Annihilation of Caste,India,Kabir,Meshram,"A boy reads the book Annihilation of Caste which is written by Dr.B.R.Ambedkar, after reading that book what changes occurs happens in his journey.",
ALEX,Armenia,Anna,Sarukhanyan," Since we very often meet with such problems as betrayal and loneliness.  I think that the topic is relevant, and especially for introverts who hide behind phone screens in the hope of finding friends like Alex, replacing natural intelligence with artificial one.  But I think that every person needs a human being, and despite the fact that virtual life replaces a lot, in the end, human being is at the heart of everything virtual.",
the girl and the street ,"Iran, Islamic Republic of",majid,farzolahi,A little girl wants to cross a busy street and asks a woman pedestrian for help.,
LAKEER (line),India,SURAJ S ,KENDRE,"It's a story about the line and how it's around us in different forms and shapes, creating different meanings. how we are making a difference by using that line to create chaos in our social environment and how we are creating imaginary differnces to run this world. ",
the piano between us ,Greece,Katerina,Barbari,"The movie simultaneously showcases fragments of the lives of two people. Those of young Fivos and the elderly Efthimis. Fivosa young mathematics student who has decided to isolate himself in his home to focus on his studies. Efthimis is  an elderly man who is experiencing feelings of loneliness as he is slowly packing and moving out of his life-long house. After meeting randomly they will find out that they have something in common, through the spectrum of solitude and devotion. One meets the other on a musical street, a language that needs no arguments and words to be heard. Music comes and reminds the two neighbours of the reasons that both of them find themselves in this solitary/ascetic situation. Discomfort becomes an unconscious interest and the two neighbours become as one in a surreal manner.",https://www.youtube.com/watch?v=AgZ_jxAejRY&ab_channel=Retromantic
You shall not forgive,France,Alexia,Sanchis,"Separated, Alexia accompanies her granddaughter Mélina to her father's. The latter does not want to go, her father is a mean and violent man...",
Nature Can Be Cruel,India,Shubham Manav,Mishra,"The death of a pigeon hatchling breaks the heart of a passerby, Shubham, who decides to film this event to remind himself of how unpredictable life is and how helpless all creatures, including humans, are. Throughout the short film, he pities and questions her death and tries to find different possible answers.",
Dear Admissions ,United States,FREYA,GOLDEN,"In this experimental, psychological thriller, a teenager meets with the sinister personification of Admissions. As the sardonic plot unravels, the interview plummets towards disaster, and the student becomes increasingly desperate to submit a stand-out application for college. ",
reload.org,India,Sayan,Ghosh,"Two filmmakers, aged 23-24, come together to make a documentary on “Kolkata and unemployment”. Some incident takes place. Suvodeep and Subrata both embark on a journey to film what Kolkata thinks of unemployment. They interact, learn and get affected by the opinions.",
Martha and Jerry,Australia,Hugo,Morgan,"Martha and Jerry hear a strange and disturbing noise coming from their neighbor's home in regional NSW, only things aren't what they seem.",
Take A Shower,China,Allen,Xue,A Gay boy meets another boy while showering in a public bathroom ......,
you made me - short,Not Specified,Lukas,Amores,,
Problem Description ,Turkey,Mohammadreza,Khamin,Lie-fear-couple-hero,
Be Alright,Indonesia,Udumbara,Picture,"Arun is a civil servant who lives with his wife and brother. Arun's wife namely is Clara, and Arun's older brother, Radika, are painters. Clara, who is nine months pregnant, wants Radika's room to be used as the room for their child  but Arun refuses his wife's wish because he thinks Clara doesn't respect Radika. This makes Clara act on her own to turn the room into her child's room. Arun who knows this makes him angry and causes the two to argue to try to get Radika's room according to their respective wishes.",
"Dearest, Heart",Indonesia,Bryan Kristhoporus,Gondo,"Since the mother left, the relationship between Aksa and his father, Anton becomes tenuous. Anton still have deep worries over his wife's left and becomes apathetic to Aksa. Their cold and full of tension relationship makes Aksa can't communicate with Anton well.",
Enola Holmes The Case of the Missing Marquis,Brazil,Joice,Colbeich,"Will tell the life story of Enola Holmes, younger sister of Sherlock Holmes",
Reyhan ,"Iran, Islamic Republic of",Mehdi ,Mehraban ,"Reyhan is a Shiite Muslim girl who falls in love with a Sunni boy and the tribe opposes their love, and this love makes him kill.",
IDENTITY,Not Specified,Mehtap,ÖZDEMİRLER,,
ubuntu,United States,Scott A.,Galeski,A philosophy defined by 6th grade student Konner Turner of the Downriver Detroit Student Film Consortium.,
"Sorry, I didn't mean to pry",Philippines,Jermaine,Tulbo,"Timoy and Chiminea decides to leave their tiring job. Month safter leaving their job, living in the same house apartment, they explore the consequences of being jobless, the recent government and debts. Timoy hopelessly trust his fate in tarot cards as this results to bad luck. The landlady brings up boxes as the landlady decides to make them leave urgently, for the reason of unpaid monthly payments. Timoy and Chiminea argues and after they come up to talk about the reality of adulthood. Timoy and Chiminea finally leaves the apartment but a sudden incident of timoy`s curiosity changes their luck forever. ",
Violent Poetry,Algeria,Mourad,Hamla,"Faced with violence, should we despair of humanity? Can we really consider that violence in the world has regressed over the centuries? Where is the violence still hiding in our doubt-ridden modernity? Can we ward it off other than by itself?  poetry today - faced with the fury of history, the suffering of the victims, the metaphysical aridity of the present time - when societies, having lost confidence in its witnesses, have turned away from it? What is the necessity and what is the legitimacy of poetry, when speaking is the modern fact par excellence? there is violence in language, which the poem that brings it back can at least know - making poetry a search for its own conditions - and there is, more precisely, a murder at the bottom of words, which the poem that derives from it can also reveal - making poetry, as much as a sacrificial drama, an act of compassion for the victim of the words",
Contratempo,Colombia,Santiago,Caballero,"Jairo's going to play with his band in a contest. When they perform, they lose because Jairo plays a different piece. Back at home in a van, Jairo claims someone hid his music score, and accelerates, threatening not to stop until he knows who it was.",
NYX,Italy,Renato,Rosati,"""Chimes rang on doors unseen would they open up anew?"" A monotonous life, an insignificant job, an unfinished book and severe somnambulism. These are Francesco's traveling companions, a frustrated literature teacher unhappy with his job. The unfortunate man's footsteps struggle through days that are all too similar to each other, and then continue, with sad awareness from the lead, into the night hours, through memories, nightmares and personal traumas. Francesco is alone, tired and abandoned to a daily routine that oppresses him, forcing him to survive, in the daylight hours, until nightfall, then bringing him face to face with his most ruthless nightmares.",
Trio,Brazil,Sonhador,Filmes,"Three curious creatures - Staccato, Legato and Non - meet in a park, where they find a marvelous fruit, the Manguava. In order to get their hands on that fruit, they must learn how to work together.",
On the Other Side of Rainbow,Serbia,Lena,Radulović,"A story about trans revolution activist who fought for her new beginning and showed the way to many. Gender content has been given an appropriate physical form, identification and verification have become one.",
Faithfuls to the Djamba,Spain,Raúl,Fernández,"is a guide and warning to adolescent marijuana users so that they know what world they are immersing themselves in and how it can affect their lives. Teenagers are the protagonists of the documentary and they tell us their concerns, because they consume and what they expect from this life, this documentary does not position itself on whether it is bad or good, it simply captures a reality.",
The Barman,United States,Brandon,Johnson,Joe wants the best for penny and is willing to do anything possible to give her a better life. ,
Unspoken Hope ,Philippines,Pangasinan,Youthcaster,"A Special Education Teacher Leah Surot has dedicated her life to teaching deaf students for 25 years, which include the 10 years at  West Central Elementary School in Dagupan City.   Despite having no prior teaching experience and having graduated from a computer degree, Teacher Leah was destined to become a sign language teacher for deaf students. She also has a foster child who is deaf.  The very passionate deaf teacher fights immovably for her students' right to have decent lives free from inhumane treatment and wants them to achieve their goals despite having special needs. She also commits her entire life to the school's transition program, which will assist its students in finding work opportunities.  Despite the heartfelt efforts of SPED teachers like her to to give hope to these children, most of the businesses still do not employ persons with disabilities. ",
Treasury of Tutankhamun,India,Karan,Chahal,It's a documentary on the Treasury of Tutankhamun ,
"FIGMENT (ep. 102) ""alone in a crowded room""",United States,Bianca,Roth,,
Even Me,United States,Scott A.,Galeski,A young man reflects on the life he imagines and reality.,
Bad Gamer,United Kingdom,Shyama,Wilczynski,"When his mum leaves for a week, the thirteen-year-old gamer takes his chance to play video games without anyone there to stop him...",
4612,Canada,Olisho,.,Figure it out.,
NURUT DONG,Indonesia,James,Isaac,"Inspired by the Indonesian idiom, “Anak dipangku dilepaskan, beruk di rimba disusukan”, tells a story of a young boy who always being told by his strict dad to position his bed based on Feng Shui to get a good energy in the house.",
for Sale,India,Charusheel,Mane,A film on human trafficking highlighting how minor or major girls are being sold under the legal cover of marriage,
Call Out,Brazil,Eduardo,Ferraz,"In the 80s, two young friends, Rafael and Amanda, decide to call to a telephone conversation service called “Dial Friendship”. There, they discover the story of Shadow, a serial killer who lurks the phonecalls and starts chasing the two friends.",
ECHO,United States,Champ,Moore,"Royce Rivers, a 28 year old veteran, struggles with adapting to a new life after losing his hearing. He contemplates his purpose, and finds himself down the path of vigilantism. ",
Maranam Tho Saranam (peace after death),India,GOVINDA,KAVALI,"Since March 2018 Passive euthanasia is legal in India but Active euthanasia is still illegal in India. Till today in some parts of india some people are involving in this illegal attempt of active euthanasia. This movie is based on active euthanasia which is still illegal in india. Taking some ture incidents with fictional charaters we tried to show what situtions are making them to invovle in this illegal activity of killing a person who were very much close to them, where the victim himself/herself request to kill them. ",https://youtu.be/e4rjuKPB-1w
TAR-E-RACE,"Iran, Islamic Republic of",masih,masihzadeh,This is a documentary about the effects of corporal punishment on children.Taken from my own life.,
It's in the mind,Senegal,Pierre Maurice ,LOPY ,YANKHOBA IS A YOUNG MAN WITH REDUCED MOBILITY. TRAVELS HOME ALONE. HE ENJOYED TALKING WITH HIS MOTHER ABOUT HIS FUTURE.,
1:00 AM,India,Bibhujjal,Kalita,"An estimated 2% to 8% of adults can't get rest because terrifying dreams wreak havoc on their sleeping patterns. In particular, nightmares can be an indicator of mental health problems, such as anxiety, post-traumatic stress disorder and depression. Nightmare disorder is referred to by doctors as Parasomnia. The story revolves around an incident faced by the girl protagonist in the short film 1:00 AM.",
Escape VR,United States,Sasson,Lonner,"Tom and Gabby buy their two children VR headsets with the hopes of keeping them more easily entertained. As the kids are swept away by this state of the art technology, Tom and  Gabby begin to realize that VR may not just be fun and games.",
Wine and Dine,France,Chryssa,Florou,A couple comes out of the premiere of a totally failed film. How can they tell this to the director who is the woman’s sister?,
Island,Estonia,Dmitrii,Ershov,"The film introduces us to one of the islands on the east border of the European Union - Zalita Island. Among the water, heavenly, earthly and historical elements, the characters of the film live. And only women talk to us. As you know, they are the saviors and guardians of the inescapable past in their destinies. A small island in which, like a mirror, the essence of life is reflected - love and loyalty to the motherland, patience and responsibility, and faith in God. This is the life that is lost in the world of glamour.",
Clout ,Nigeria,Heavens,Obule,Clout is a psychological horror found footage film that follows six friends embark on a journey that they never returned from.  ,
Run in Time,Germany,Emil,Kupfer,Time. What do we do with it? What should we do with it?   A young man looks back on his life and asks himself these very questions. ,
femmes,Russian Federation,Maria,Shuvanova,A monologue from a conversation I once had with a friend about the importance of recognition of female authorship in art.,
Brujas (Witches),Spain,Casa del Cine,Ciudad Real,"Press Kit with a downloadable version (.mp4 H.264 + .srt English & Italian & Spanish subtitles):  https://drive.google.com/drive/folders/1pVogWkKO4w78A4v2pfBacgbLW0PXJtY6?usp=sharing YouTube Unlisted Link (English & Italian & Spanish subtitles): https://youtu.be/n_AHUbWKEWs  Hacer reportajes es complicado, pero nadie avisó a este equipo que una simple entrevista a una familia de brujas iba a enredarse tanto.  Filming a reportage is complicated, but no one warned this crew that a simple interview with a family of witches would get so messy.",
Corn,United States,Benjamin,Lazzaro,You will witness a self-indulgent phenomenon in the surveillance state of Ohio...,
Epiphany,Argentina,Instituto,Oncativo,"Alma, an teen who, through her life and memories, invites us to ask ourselves questions and question ourselves, to put aside conformism. Facing her fears and emotions will lead her down an unexpected path.",
STAVAN (Marathi Short film),India,Shrushti,Studioz,"""STAVAN"" Short film (Synopsis) This is the story of Stavan, an 8-year-old boy who grows up in a Christian family with his religious rites and his mom and dad. Every Christian, from children to the elderly, is eager to come to church on Sunday. The life that God expects and His will are taught to us from the Holy Scriptures. According to that, the pastor preaches in the church. Do we or our loved ones really absorb the holy message given by them from the Bible? In spite of knowing the meaning of the verses in the Bible, man easily ignores them while walking in the worldly life.  Many people today love only with words that too according to their convenience... But it is the will of the living God that our love should be expressed through our behavior and actions. Helping someone in need goes straight to God. The film teaches about love for each other, true affection and helping the needy. ""STAVAN"" is the thing of unknowing rites on parents. ",
The Claudio Camberra's return,Italy,Carlo Giuseppe,Trematerra,"A manager, greedy for money, decides to bring back, no matter what, Claudio Camberra who left the scenes ages ago. Despite his coach believes in him, Claudio is preoccupied  of his manager. Alessia thinking her husband is cheating on her. Because his misleading behaviour and spending everyday at the gym, She decides to leave him. Something amazing happens to Claudio and he will be successful again",
BLACK BOX,United Kingdom,Ciro,Ayala,,
Tearless Knight,France,Sandy,Blanco,"An old knight, accompanied by his squire, returns from the crusades. One evening, they meet an encampment of musicians and actors who invite them to spend the night with them. Around a large fire, an actress starts to sing and, without knowing it, will transcribe the state of mind of the knight who will remember a past from which he is not cured.",
"Con amore, Ines",Italy,Luisa,Riccardi,"After the death of her grandmother, Bianca sets out to find a lost ring that belonged to the deceased. In the research, however, she will discover how the power of love is able to bind two people forever.",
Reloading your Reality,France,Helen,Etkina,"Here is your magic remote control. Reload and reprogram your reality, fast-forward and rewind to your favorite spots all over the world.   Traveling to Austria, France, Portugal, Russia, Turkey and the United Kingdom in less than 1 minute may sound like a dream, but it is your reality now.  Fly any place, any time. Your next best trip is just 1 thought away.   PG: 0+",
sunflower ,United States,Shalyn,Delhaes,"After Mateo’s father died in a car crash, the rebellious teenager doesn’t attend his funeral but instead, spends the day with his friends skating and ignores his mother and sister while they continuously try to contact him.",
MUKHA- The Mask,India,The Planet,X,"the year 1468. srimanta sankardeva is the founder of mukha art in assam. he made mukha for the artist with his own hands.the mukha art of assam has a glorious tradition and it is carried by majuli for all this years.the mukha of majuli is more fine crafted and thus famous.samoguri satra's kusakanta debogoswami first introduced mukha art to the world stage  goverment awarded him the presitigious sahitya natok academy award as a recognation of his efforts during the tenure of fakkarud din ali ahmed artist showed mukha to the world stage through the ram bijoy drama in indonedia many artist come to majuli to cherish the beauty of mukha.mukha attractes people easily. ,the nine essence of drama is expressed in mukha  natural calamity has brought danger to the existence of majuli.how far they can survive is the questiln of time being",
Method acting,"Iran, Islamic Republic of",Yasin,Faghiri,"We are here to fight.  for Peace , for Rain , and for Love !",
In the morning,Russian Federation,Artur,Avaru,"After an unrestrained night with a sea of alcohol in the dorm room, the body wakes up at the sound of an alarm clock. The student is frantically preparing for work and discovers that his room is locked and the key is nowhere to be found. And the memory of last night has not yet been restored.",https://youtu.be/cNEV1kWAj7s
Things to do,France,Leo,Legalle,"This summer is their 18th birthday but Amar and Julien are not going on vacation. Between the parisian suburbs and the countryside, they are chasing time, hanging around in their hometown. Looking for things to do, Amar decides to bring Julien to a party in Paris. ",
The Statue (Peykareh),"Iran, Islamic Republic of",mohsen,salehifard,The sculptor struggles a lot every day to create a new sculpture And the sculpture that loses its freedom when it takes shape ,
Tamas- Darkness In Life,India,Bamai,Diaries,"Shekhar a religious middle-class man happily married to his loving wife Ruchi but facing financial crisis for some time though he is employed in good company and waiting to get promotion so that his remuneration will be hiked, His wife Ruchi suggest to find another job but Shekhar is a believer in his hard work and his guru who tells Shekhar to get rid of blocking  stone which is none other than his loveable wife. Shekhar splitted between love of his wife and commandent of guru, How he will be promoted and what he will do ?",
The South Pole and Global Climate Change,Turkey,Yunus,Topal,"“This frozen world offers us an unknown ritual with unusual seasons, months of night and day. While the mankind is adding new signs to the traces of the past, I wanted to explore this place and understand those who gave their lives for this aim. Now these places back to the night. The temperature will drop even further. The top of the ocean will be covered with ice again. The birth of a new day will be at least six months later. Who knows, maybe I will be there to welcome the sun on another polar morning.” I intend to take you to far places difficult to reach with my work including my journey to the South Pole, one of the most difficult points to reach on Earth where I went to, observed and lived my adventure, took my photographs and produced my documentary. This challenging frozen geography has an impact on our world, our city, even our home, on our tables. What is it? The global warming and climate change. These terms which we have just begun to hear tell us that something important will happen in the near future, what can happen, how can we counteract it, how can we take measures individually and socially? That is exactly why this documentary was shot. We have made a gruelling, spooky journey to the most difficult place in the world for you. We try to make it visible for you who did not see with eyes and heard with ears. Now, let’s all stop for a moment to think, is our future really in danger? The ice you’re watching is melting fast. The world is getting hotter and warmer. Do you remember the last summer when the record temperatures of the last 200 years, the tsunamis, the floods… that’s all you see because the ice melts? As the ice melts, the natural climate of the Earth disappears, causing the climate to change and the earth to heat up. Does this warming affect only living beings on this continent? No, it’s deeply affecting us. I guess it is not too late for everything, we can do something. We will be protecting ourselves while we’re protecting our nature. So what are we going to do? We searched and present for you. That is how the documentary begins to narrate the journey to the frozen continent to create an awareness for global warming and climate change.",
Concrete,Israel,Shahar,Dekel,A teenage skater boy is struggling with his father and going out to his skater friends to find his place. The film talks about friendship and about father and son complicated relationship.,
NightMare ,Bangladesh,Nirzhar,Hussain,"Some people are chasing Asif to Kill him. Asif tries to run, but he failed. Then again, some people are trying to kill him. Is this a Nightmare? What is the meaning of this Nightmare? Why he is seeing this? It's His Fear, His fear from his past.  When he was a Teen, He was Sexually Assaulted by a woman, who worked in his house. After that, His Parents Were Killed for some secret reasons. They got some secret government information. He was Traumatized and Tried to overcome his Trauma and Fear, Through His NightMares.   When his fear haunts Asif, He overcomes his fear through Nightmare. ",
Exercise to Open the Sea #1,Brazil,Thales,Ferreira,Every river flows into the sea. Take back the feeling of getting in touch with the immensity of the ocean for the first time. Seek to dilute yourself in this unknown. Trying to open the sea that is also inside.,
I Youtuber,Brazil,Rodrigo Sena,Sena,"Fael is a 9-year-old boy who dreams of being a video game youtuber, but he doesn't have the main thing: a video game.",
Sea Change,Canada,Tilley Aga,Thom,"Sea Change is a short stop-motion film, the first production from this director, which is an adaptation on the wonderful and curious story, Sea Change, by graphic designer and author, Frank Viva. It follows a young boy forced to travel, alone, out to his relatives in Nova Scotia. Despite his dreading of the journey, it opens him to learn new experiences and people, a new identity with self and others, ultimately growing in the process.",
Second Wednesday of April,Russian Federation,Kate,Solonskaya,"A story about a woman who is pursued by the cosmos, and how she manages to free herself from it, and get into another environment.",
Them and us,Belarus,Ilya,Mezhegorov,Visualization of thought,
Sniper,Egypt,Hossam,Waleed,"Attempting to build a bridge of communication with ‘the Other,’ a young curious man uses his camcorder to closely watch the people and children on his street from his balcony. This distance he creates allows him to think about people's internal thoughts, and the relation between what is externally displayed through facial expressions and attitudes, and what might truly be going on inside their minds. He wakes up every morning and gets ready for this mind game, curious to observe as much as he could, and trying to know who the people behind these faces are and whether he can actually form an opinion about them, attempting by this to understand them, and himself.",
Among Of Darkness,"Iran, Islamic Republic of",chilick,studio,"A young boy and girl are looking for the reason of their father's death, the girl believes that her father's death is the work of ghosts",
Individual justicel,India,Shaffu,Mohideen,Demand for the release of prisoners who have been in jail for more than 20 years on humanitarian grounds,
The day that ends with me,Ecuador,Heimer,Xd,The day that ends with me is a short film about Alejandra. A woman who is involved in a moral and mental dilemma due to past mistakes will have to face her demons.,
Gone girl,China,ting,zhou,,
I Keep You in The Pocket of Longing,Brazil,Tarrafa,Produtora,A daughter weaves memories about her mother  ,
We're All Gonna Die,South Africa,Nathalie,Bradnick,"After a severe water shortage, a world is split into two, an upper city and a lower city. One side accommodating the privileged and the other confirming the struggles of the unprivileged. The working balance of the world is thrown off when the two worlds are combined. Ruby, a woman from the lower city, is fuelled by revenge after the loss of her sister, caused by the running government, Alpha. Raven, who has direct relations with those running Alpha, decides to remain loyal to her moral beliefs after discovering the crimes Alpha is committing behind closed doors. The two of them are joined by fate and come up with a plan to expose Alpha and begin a revolution to destroy classes and promote equality.",
Hey You,China,rongxing,li,"During the quarantine period, a man saw his loneliness. His loneliness tried to understand his brain while he tried to confirm  the position of his loneliness. However, both of them failed and fell in a new loneliness in the end.",
The Author,Brazil,Luiz,Máximo,"William is a middle-aged writer who lives alone in a small, untidy house and can't settle down doing what he loves. Confused and distressed, he flirts with death. With the rope around his neck, about to jump off a chair, the man looks around at his house and sees little “magical” objects that remind him of his past and passions, thus making a decision.",
PopoOP,China,安安,碓氷,The film tells the story of a woman with a stomachache who goes to the toilet carefully in her dormitory with poor sound insulation.,
American Clown Story,United States,Kyle C,Johnson,"A clown has been murdered in Big Tent City. Pockets the Clown is on the case, a hard-boiled detective living on the fringe. Can Pockets catch the elusive perp? Or has he already gone over the edge?",
Expectant,"Iran, Islamic Republic of",Farhad,Hendi,"A soldier enters a nursing home to bring news, which is mistaken for another soldier",
NOTICE - DR DOLOR (MUSIC VIDEO),Nigeria,Solomon Usuanlele,#SolPhilms,"A piece that shows the beauty of an African lady on the streets of JamesTown Ghana as one of her suitors, Dr Dolor serenades her with an amazing tune. Enjoy the amazing view of Jamestown by day and by night.",
The Lost Ring,Greece,Nick,Kremm,"Ourania, Daphne and Christos are trying to get away from a ghost chasing them where they go. Ourania disappears and Christos and Daphne have to solve the mystery together.",
Everything Bagel,Not Specified,Tony,Gallucci,How to have a lunch break go wrong during an illegal organ stealing operation.,
France,"Iran, Islamic Republic of",Ghazal,Abedi,"A young ballerina in her early 20s is traveling to France. She’s hoping to get a scholarship through a performance in a dance festival with her co-workers at an institute, so she can stay there for good.  But when a five-year-old student accidentally reveals a jeopardizing secret  about the head of the company just a few days before their departure, she starts to wonder what she must do.",
when cotard comes,"Iran, Islamic Republic of",Shayan,Naghibi,A woman suffers from Cotard's delusion and thinks she's dead; until a mysterious woman walks into her house and...,
Wanting,Hong Kong,Hau Yin,Ku,"A crime scene has been appearing in Pui-Lam’s mind, unable to explain till meeting Chin-Fung occasionally. Two of them seem to be extremely different inside-out: one being used to cater to others, whereas one is bound by no traditional idea. But eventually, both of them are still being “trapped” by social constraints. Throughout the story, Pui-Lam is self-exploring while learning how to find the adequate balance between own-actual, own-ought and own-ideal. Most importantly, to understand and embrace herself.  ",
short film,"Iran, Islamic Republic of",Shayan,Torabyan,,
Love me tender,Kenya,Doris,Kadot,"Synopsis Set in Kenya’s capital Nairobi Love me tender follows the story of James Zola popular for his playboy nature. James Zola is a young man from a very rich and influential family known for his love for fun and women. His playboy nature earns him enemies from all walks of life. Male who accuse him of using his money to steal their girlfriends but mostly women whom he uses and tosses as he pleases. His life takes a turn when his father dies and his left in the hands of the step mother who throws him out of his fathers house and apartments as well. Amid his escapades he meets a young, innocent very beautiful small town girl, Maya Miller who has moved to the city following her mothers’ passing to pursue a career in modelling. Maya is an industrious young girl whom at her tender age has already made a name in the world of modelling and earned her respect among her peers. She becomes a famous model and top designer in the country. Brought up by a single mum, Maya was born of black mother and a white father black American George miller who perished in a plane crash at her infancy. She grows up using her love for fashion to climb the ladder of success. She sweeps James Zola off his feet. A player in nature he will work hard to get her and when he does he is forced to drop his playboy nature in order to keep her. He does for her but his past will come back to haunt him when after their wedding Maya goes missing with no signs of what might possibly have happened except for the torn veil of her wedding gown.",
Learning to Fly - KOLAH,Poland,Paweł,Krzyżoszczak,"The clip tells a story of a boy who is hurt by his peers and finds comfort, support and love in his father's arms. The love he receives from his father is poured into the injured bird which he finds. He  looks after and finally releases it to the wilderness. It is also an allegory of love which every man receives from God the Father.",
Little Talks,United Kingdom,Talla,Malyukova,A series of moments and conversations from while travelling.,
Eurosport 21',Russian Federation,Vladislav,Nosov,"Eurosport 21' - Two friends Euro and Pinball live their summer days. Euro reflects on failed relationships through people and objects. Meanwhile, Pinball is engaged in internal escapism on the eve of a meeting with ""everything"".",
Aquarium In The Fishbowl,China,Sabrina,Jane,"Yang, an underground killer with something on his mind worry, came to the fantasy underground billiard hall. In order to find his lover's whereabouts, he met Nuo, a young billiard hall shopkeeper, but was involved in another long-planned ""revenge""…",
Laal Jama- the red frock ,Bangladesh,Md. Ashiqur,Rahman,"One day fisherman Chan Mia found a dead body of a girl as same age as his daughter. Chan Mia's daughter had a hobby of red dress. The dead body of the girl was a rape victim and she were wearing a red dress. Chan Mia took off the red dress from the dead body and gave it to his daughter. Since then, he felt guilty.",
Proud,Philippines,Are Jay,Peralta,This pair of shoes personified pride and arrogance until misfortunes and experiences from it's new owners taught them the value of kindness and humility. A story that will tell us that our value is not decreased despite people's inability to see our worth.,
ONE of Those Nights,Hong Kong,Hau Yin,Ku,"In this work, I wanted to recreate an experience a few of my friends and myself encountered lately - panic attack. It can happen randomly and without an apparent cause. We endure physical suffering when there is no real danger, such as shortness of breath, paralysis, headache, and loss of control...etc. We then enter a state where time does not seem to exist and suffering seems endless. By then, we can often experience a distorted feeling of time and space, where senses are sometimes strengthened, for example, being annoyed by a slight amount of sound easily.   These kinds of surreal experiences appeared to be unfamiliar to the general public, or even to ourselves. I believe it somehow uncovers our unconscious mind by releasing physical signals. Therefore, I found it interesting when I tried to present the experience in video form with several symbolic imageries. For instance: a red bucket that represents the intenseness and the closure of space - alienation from the surrounding and self, a hammer and nails that symbolize the feeling of threat, discomfort, and numbness. Other symbols such as rope, water, plastic wrap, and different kinds of sound sources also helped to visualize the unique experience.   Due to the nature of panic attack - alienation from time, space, and self, there is no clear causal relationship, plot, or dimension of time in this video. But only, a sense of distortion, confusion, and chaos.",
Bring the Noise,Brazil,Catarina,De Castro,"The characters in the film show the most genuine human side present in an artist. The glimpses and afflictions that permeate the uncertain daily life searching for where to belong through street music set the tone of the film. The contrast between their different views makes us dive into the delights and contradictions about what success, love, art and life are. The women characters of the film stand out in matters concerning strength and protagonism, while questions about media, politics, feelings and spirituality are subtly placed between one cut and another.  Without leaving humor and spontaneity aside, director Catarina de Castro dives with a loose and almost playful lens into the daily lives of these artists. Without any answers or conclusions, it is up to the spectator to decide how to immerse into the invisible universe of those who make street art a lifestyle.  With the special participation by Badi Assad, an important Brazilian musician who has traveled the world and performed on large stages, the artist experiences for the first time transforming the street into the stage of the day, in an exciting exchange with the public. Among the street artists interviewed and followed during the film are Kacá Novais, Lilian Jardim, Lúcia Zorzi, and the group Teko Porã, whose members are Bia Sabiá, Kinda Assis, Pablo Nomás, Caio Gregory and Israel Marinho.  ",
Do not worry,Italy,Lucrezia,Dal Toso,Two friends are looking for an apartment to live together. How much this problem is gonna affect their friendship? The short film aims to criticize the difficulty of finding housing by out-of-town students.,
Currants,Poland,Dominika,Tkaczyk,"Rejected by heaven, the nun plunges into grief and fear of hell.",
My Queen,Italy,Daniele,Marsala,"My Queen is a denunciation of feminicide, through an open reflection of a man, tried by the difficulties of life, in work and in society. The mental instability of a man, who breaks all ties with his family. All this never justifies violence.",
Fino al mare,Italy,Pasquale,Fresegna,"Arianna, giovane rider, si perde nel groviglio di strade di San Giovanni a Teduccio, finendo per incontrare nel corso delle sue consegne quotidiane personaggi al limite tra il mondo reale e l'immaginifico irrazionale.   In un fantasy moderno con forti riflessioni verso una terra sfruttata in passato e ora dimenticata, l'avventura della giovane rider ricalca il mito di Teseo e Arianna, districandosi tra mille consegne e imprevisti per sbarcare il lunario.   Torna dall'opera greca il tema de Labirinto che avvolge la cittadina in spenti muri grigi privandone delle azzurre onde del mare e imbottiglia i suoi abitanti in ruoli riemersi dal passato   Fino al mare... è un progetto di Art. 33-Cultural Hub volto a dare nuovamente risalto al quartiere di San Giovanni a Teduccio (Napoli) proponendo una nuova strada per tornare a darne risalto  In sintesi (per Imdb): In una calda giornata estiva, Arianna, una rider su bici rossa, gira per San Giovanni a Teduccio imbattendosi in personaggi usciti da una fiaba, che ricordano a lei il passato del suo quartiere e le danno speranza per ilo futuro  La pagina ufficiale del Corto è caricata sul profilo di Art. 33: https://filmfreeway.com/TotheseaArt33",
Frontière,France,Lola,Dubettier,Three men in a van attempt to cross a border in a state of emergency. From the shadow to the light,
Echo,"Iran, Islamic Republic of",Falch,Films ,,
Disquietude,Denmark,George,Veck,A traumatized victim of domestic abuse wallows within the confines of her PSTD induced isolation. ,
Cascade,Canada,James,Seed,"After a close friends suicide; Will, a Punk and Post-Punk musician living in the US is struggling with doubts about his relationship, his identity and ultimately what he wants to do in life. Will becomes isolated, reliant on substances and is sent down a path of pain, suffering and existential terror.",
Changes,Austria,Katrin,Butt,Impressions of my life in a nrw sight,
Reindeer Man,United States,Zander,Rice,"In a world where the sun doesn't shine, one Reindeer Man gets pulled back into a life he left behind.",
